,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,constitucion,-35.3333,-72.4167,67.14,48,37,21.63,CL,1611771300
84,cherskiy,68.75,161.3,-23.96,85,100,3.56,RU,1611771300
85,nsanje,-16.92,35.262,78.98,81,23,2.53,MW,1611771301
86,olafsvik,64.8945,-23.7142,30.47,88,100,17.29,IS,1611771302
87,holme,56.1138,10.1725,33.8,100,90,3.44,DK,1611771302
88,san patricio,28.017,-97.5169,71.6,23,75,20.71,US,1611771303
89,petropavlovsk-kamchatskiy,53.0452,158.6483,8.6,66,0,11.18,RU,1611771304
90,tutoia,-2.7619,-42.2744,89.6,62,20,14.97,BR,1611771304
91,narsaq,60.9167,-46.05,37.4,32,75,37.98,GL,1611771305
92,tungor,53.3808,142.9564,10.36,96,100,12.59,RU,1611771137
93,algiers,36.7525,3.042,62.6,88,75,12.66,DZ,1611771306
94,talnakh,69.4865,88.3972,-21.08,85,100,4.18,RU,1611771307
95,sitka,57.0531,-135.33,26.6,43,1,4.61,US,1611771307
96,mar del plata,-38.0023,-57.5575,69.8,56,0,13.8,AR,1611771308
97,cidreira,-30.1811,-50.2056,80.64,74,98,8.57,BR,1611771308
98,nemuro,43.3236,145.575,23.95,89,37,16.46,JP,1611771305
99,maniitsoq,65.4167,-52.9,18.99,76,0,8.75,GL,1611771309
100,ramanuj ganj,23.8,83.7,50.56,70,0,3.18,IN,1611771309
101,gejiu,23.306,103.1635,46.44,100,17,3.91,CN,1611771310
102,tiksi,71.6872,128.8694,-38.04,83,96,2.44,RU,1611771032
103,salinas,36.6777,-121.6555,51.8,87,75,21.85,US,1611771151
104,belmonte,-15.8631,-38.8828,82.4,61,40,9.22,BR,1611771311
105,qaanaaq,77.484,-69.3632,-14.66,64,0,7.09,GL,1611771115
106,calvia,39.5657,2.5062,60.8,72,20,10.36,ES,1611771311
107,huarmey,-10.0681,-78.1522,76.77,66,100,11.41,PE,1611771073
108,upernavik,72.7868,-56.1549,-0.87,91,100,3.09,GL,1611771312
109,bredasdorp,-34.5322,20.0403,64.4,55,80,3.44,ZA,1611771148
110,jalingo,8.8833,11.3667,86.61,14,29,4.41,NG,1611771312
111,beringovskiy,63.05,179.3167,17.11,97,100,28.41,RU,1611771313
112,katsuura,35.1333,140.3,45.0,65,0,10.36,JP,1611771149
113,surt,31.2089,16.5887,57.4,58,32,9.22,LY,1611771313
114,klaksvik,62.2266,-6.589,32.0,93,20,12.66,FO,1611771313
115,lancaster,40.2504,-76.2499,37.99,52,75,12.66,US,1611771314
116,port alfred,-33.5906,26.891,66.0,94,91,1.99,ZA,1611771314
117,san luis,-33.295,-66.3356,91.2,27,16,17.58,AR,1611771091
118,saint-philippe,-21.3585,55.7679,80.6,69,20,5.53,RE,1611771315
119,omsukchan,62.5333,155.8,-34.13,79,100,5.21,RU,1611771145
120,oildale,35.4197,-119.0195,57.2,35,90,29.93,US,1611771316
121,manavalakurichi,8.1333,77.3,77.0,69,20,8.84,IN,1611771316
122,brae,60.3964,-1.353,33.8,86,20,9.22,GB,1611771317
123,loa janan,-0.583,117.095,73.94,97,98,2.24,ID,1611771317
124,ketchikan,55.3422,-131.6461,26.6,86,20,10.36,US,1611771317
125,lebu,-37.6167,-73.65,61.38,65,88,8.93,CL,1611771318
126,muroto,33.2833,134.15,50.95,66,0,10.22,JP,1611771318
127,sevlievo,43.0258,25.1136,28.99,94,100,13.47,BG,1611771319
128,barrow,71.2906,-156.7887,-13.0,84,90,4.61,US,1611771306
129,new norfolk,-42.7826,147.0587,54.0,59,83,0.38,AU,1611771319
130,marsa matruh,31.3525,27.2453,59.0,44,40,17.27,EG,1611771319
131,moose factory,51.2585,-80.6094,5.0,78,90,8.05,CA,1611771317
132,santa vitoria do palmar,-33.5189,-53.3681,81.03,62,92,3.02,BR,1611771320
133,nikolskoye,59.7035,30.7861,33.8,93,75,6.71,RU,1611771320
134,pangkalanbuun,-2.6833,111.6167,74.32,95,100,2.64,ID,1611771166
135,synya,65.3718,58.0387,2.41,94,100,5.75,RU,1611771321
136,cape town,-33.9258,18.4232,70.0,68,20,23.02,ZA,1611771075
137,bathsheba,13.2167,-59.5167,82.4,65,40,19.57,BB,1611771321
138,camacupa,-12.0167,17.4833,64.92,89,76,5.1,AO,1611771322
139,dikson,73.5069,80.5464,-21.69,86,100,8.39,RU,1611771322
140,aquiraz,-3.9014,-38.3911,86.0,66,20,16.11,BR,1611771309
141,butaritari,3.0707,172.7902,80.29,79,44,12.03,KI,1611771323
142,bone,51.9669,12.1396,37.0,83,51,4.0,DE,1611771323
143,fortuna,40.5982,-124.1573,46.0,93,75,21.85,US,1611771323
144,port-gentil,-0.7193,8.7815,78.8,78,20,3.44,GA,1611771088
145,alice springs,-23.7,133.8833,75.2,88,64,1.14,AU,1611771237
146,kirakira,-10.4544,161.9205,80.69,82,84,10.65,SB,1611771324
147,shaunavon,49.6501,-108.4181,8.6,78,100,12.66,CA,1611771324
148,batagay,67.6333,134.6333,-49.04,74,65,0.29,RU,1611771251
149,castro,-24.7911,-50.0119,74.32,87,100,9.35,BR,1611770886
150,chimore,-16.9833,-65.1333,81.86,89,60,3.0,BO,1611771325
151,tuktoyaktuk,69.4541,-133.0374,-18.4,76,40,5.75,CA,1611771326
152,geraldton,-28.7667,114.6,66.2,68,0,12.66,AU,1611771326
153,bengkulu,-3.8004,102.2655,74.79,93,100,9.1,ID,1611771326
154,kahului,20.8947,-156.47,75.2,69,40,19.57,US,1611771327
155,rock sound,24.9,-76.2,75.58,77,34,8.19,BS,1611771327
156,georgetown,5.4112,100.3354,78.01,94,40,4.61,MY,1611771328
157,sakakah,29.9697,40.2064,64.4,34,0,8.05,SA,1611771328
158,keetmanshoop,-26.5833,18.1333,80.6,22,0,18.41,NA,1611771329
159,pimentel,-6.8367,-79.9342,80.6,57,0,19.57,PE,1611771329
160,erenhot,43.6475,111.9767,-9.78,84,53,13.8,CN,1611771329
161,chokurdakh,70.6333,147.9167,-18.13,87,100,14.0,RU,1611771329
162,port macquarie,-31.4333,152.9167,72.0,94,90,3.42,AU,1611771329
163,longyearbyen,78.2186,15.6401,5.0,66,20,14.97,SJ,1611771330
164,aksu,41.1231,80.2644,18.86,85,0,0.51,CN,1611771331
165,bilibino,68.0546,166.4372,-10.25,84,100,6.26,RU,1611771331
166,anzhero-sudzhensk,56.081,86.0285,3.2,78,20,4.47,RU,1611771331
167,asau,46.4333,26.4,32.0,49,100,7.49,RO,1611771331
168,chuy,-33.6971,-53.4616,81.07,64,90,9.64,UY,1611771331
169,haimen,23.1935,116.6142,55.4,88,12,4.47,CN,1611771332
170,port lincoln,-34.7333,135.8667,63.77,82,0,12.66,AU,1611771333
171,malkangiri,18.35,81.9,68.95,74,0,0.67,IN,1611771333
172,bardiyah,31.7561,25.0865,54.57,56,24,18.81,LY,1611771333
173,mitu,1.1983,-70.1733,82.08,86,64,5.23,CO,1611771333
174,bordighera,43.7806,7.6645,48.0,71,0,5.75,IT,1611771334
175,tuatapere,-46.1333,167.6833,48.0,87,72,13.0,NZ,1611771334
176,salalah,17.0151,54.0924,75.2,69,0,3.44,OM,1611771334
177,kodiak,57.79,-152.4072,28.4,86,90,1.16,US,1611770977
178,lodja,-3.4833,23.4333,73.18,86,99,2.48,CD,1611771122
179,lagoa,39.05,-27.9833,61.03,82,38,33.2,PT,1611771335
180,provideniya,64.3833,-173.3,-0.83,88,97,25.9,RU,1611771335
181,kangaatsiaq,68.3065,-53.4641,4.69,94,20,7.09,GL,1611771335
182,leningradskiy,69.3833,178.4167,-19.1,87,100,3.67,RU,1611771335
183,guarapari,-20.6667,-40.4975,88.0,51,20,16.11,BR,1611771335
184,bethel,41.3712,-73.414,34.0,69,90,12.66,US,1611771335
185,molchanovo,57.5817,83.7692,-13.5,89,100,5.97,RU,1611771336
186,yuxia,34.0615,108.6291,43.0,40,0,4.47,CN,1611771336
187,vila franca do campo,37.7167,-25.4333,64.99,94,40,14.97,PT,1611771336
188,evensk,61.95,159.2333,-7.82,86,100,11.95,RU,1611771175
189,eureka,40.8021,-124.1637,48.0,80,100,8.01,US,1611771201
190,acapulco,16.8634,-99.8901,85.33,50,0,7.94,MX,1611771310
191,birin,26.8865,88.0718,44.38,80,4,3.47,NP,1611771337
192,tianpeng,30.9866,103.9393,52.0,93,84,2.24,CN,1611771337
193,ciudad bolivar,8.1222,-63.5497,90.7,40,38,14.25,VE,1611771337
194,chifeng,42.2683,118.9636,-0.85,82,62,8.46,CN,1611771337
195,lukovetskiy,64.2956,41.9211,32.0,100,90,2.24,RU,1611771338
196,ribeira grande,38.5167,-28.7,59.0,82,75,25.32,PT,1611771338
197,hithadhoo,-0.6,73.0833,81.09,80,19,15.57,MV,1611770977
198,barao de melgaco,-16.1944,-55.9675,86.0,66,40,10.36,BR,1611771339
199,tanda,26.55,82.65,50.11,60,0,2.75,IN,1611771339
200,rundu,-17.9333,19.7667,71.82,79,100,2.26,NA,1611771339
201,dingle,10.9995,122.6711,75.33,90,100,8.52,PH,1611770751
202,fairbanks,64.8378,-147.7164,-5.01,69,40,2.28,US,1611771306
203,constantine,36.365,6.6147,53.6,87,75,6.91,DZ,1611771339
204,mayo,38.8876,-76.5119,44.01,56,90,11.5,US,1611771339
205,dunedin,-45.8742,170.5036,54.0,68,18,4.0,NZ,1611771248
206,roma,43.2128,-75.4557,28.0,74,90,9.22,US,1611771340
207,anito,12.4497,125.2886,77.09,88,100,9.64,PH,1611771340
208,skibbereen,51.55,-9.2667,50.0,100,90,10.36,IE,1611771341
209,abu kamal,34.4506,40.9171,57.18,36,100,15.77,SY,1611771341
210,faya,18.3851,42.4509,60.8,58,0,5.75,SA,1611771079
211,ponta do sol,32.6667,-17.1,64.4,88,20,9.22,PT,1611771341
212,dosso,13.049,3.1937,79.56,15,26,7.23,NE,1611771341
213,nioro,13.35,-15.75,98.94,7,0,7.14,GM,1611771341
214,rawson,-43.3002,-65.1023,69.49,33,100,16.28,AR,1611771049
215,alyangula,-13.8483,136.4192,82.4,89,90,4.61,AU,1611771342
216,alappuzha,9.49,76.3264,75.76,76,100,5.7,IN,1611771343
217,itoman,26.1247,127.6694,64.4,68,40,16.11,JP,1611771343
218,ankazoabo,-22.2833,44.5167,76.71,83,50,2.28,MG,1611771343
219,karratha,-20.7377,116.8463,84.36,62,0,15.86,AU,1611771343
220,victoria,22.2855,114.1577,64.0,85,29,9.6,HK,1611771254
221,santa isabel do rio negro,-0.4139,-65.0192,90.66,47,99,4.63,BR,1611771344
222,ljig,44.2301,20.2382,32.0,100,75,6.91,RS,1611771345
223,hue,16.4667,107.6,69.8,94,75,1.14,VN,1611771345
224,san cristobal,7.7669,-72.225,87.8,51,40,12.66,VE,1611771221
225,mayumba,-3.432,10.6554,78.91,84,93,4.59,GA,1611771345
226,khatanga,71.9667,102.5,-28.97,80,1,8.05,RU,1611771346
227,mahebourg,-20.4081,57.7,77.0,83,20,6.91,MU,1611771347
228,seymchan,62.8833,152.4333,-37.57,79,91,2.1,RU,1611771347
229,sandi,27.3,79.95,49.98,55,0,1.12,IN,1611771347
230,margate,51.3813,1.3862,48.0,84,100,6.53,GB,1611771348
231,steinbach,50.1667,8.5667,37.99,93,75,8.05,DE,1611771349
232,bam,29.106,58.357,45.77,40,0,1.32,IR,1611771349
233,peniche,39.3558,-9.3811,57.99,95,100,8.99,PT,1611771349
234,gawler,-34.6,138.7333,69.01,44,58,8.99,AU,1611771349
235,sao filipe,14.8961,-24.4956,76.93,63,0,5.59,CV,1611771350
236,barranca,-10.75,-77.7667,76.37,67,92,11.68,PE,1611771350
237,alba,52.0324,23.1165,29.43,98,99,13.09,PL,1611771351
238,yangambi,0.8102,24.4336,71.64,90,84,1.25,CD,1611771351
239,meulaboh,4.1363,96.1285,77.56,83,99,3.94,ID,1611771351
240,west bay,19.3667,-81.4167,86.0,54,20,12.66,KY,1611771351
241,rurrenabaque,-14.4413,-67.5278,80.6,94,75,5.75,BO,1611771352
242,ostrovnoy,68.0531,39.5131,9.79,94,100,20.54,RU,1611771352
243,ust-nera,64.5667,143.2,-23.89,77,100,2.82,RU,1611771352
244,bilma,18.6853,12.9164,70.79,20,0,10.87,NE,1611771145
245,dwarka,22.2394,68.9678,67.39,53,0,10.27,IN,1611771353
246,arroio grande,-32.2375,-53.0869,74.62,83,99,5.7,BR,1611771353
247,alexandria,31.2156,29.9553,59.0,63,20,17.27,EG,1611771187
248,liverpool,53.4106,-2.9779,46.99,93,40,6.91,GB,1611771305
249,maceio,-9.6658,-35.7353,78.8,78,75,16.11,BR,1611771353
250,palmer,42.1584,-72.3287,30.99,88,96,3.71,US,1611771163
251,bakchar,57.0186,82.0711,-7.62,90,100,4.16,RU,1611771354
252,yunyang,33.4474,112.7142,46.0,40,79,7.96,CN,1611771354
253,sarakhs,36.5449,61.1577,35.6,69,0,2.3,IR,1611771355
254,paamiut,61.994,-49.6678,24.75,83,27,6.93,GL,1611771355
255,radyvyliv,50.1299,25.2558,25.2,98,98,7.4,UA,1611771355
256,manzhouli,49.6,117.4333,-19.03,84,65,7.7,CN,1611771355
257,shimoda,34.6667,138.95,39.99,71,79,1.99,JP,1611771093
258,ulagan,50.6321,87.9563,9.97,85,88,2.44,RU,1611771356
259,canico,32.6333,-16.85,64.4,88,20,9.22,PT,1611771356
260,portales,34.1862,-103.3344,46.0,60,1,10.38,US,1611771357
261,marzuq,14.4,46.4667,60.49,57,0,1.92,YE,1611771357
262,san quintin,30.4833,-115.95,56.17,45,6,1.72,MX,1611771357
263,mehamn,71.0357,27.8492,23.0,74,75,11.5,NO,1611771357
264,viedma,-40.8135,-62.9967,73.99,35,50,5.99,AR,1611771357
265,shestakovo,56.4915,103.96,-18.98,82,97,4.16,RU,1611771134
266,saint-georges,12.0564,-61.7485,86.0,58,40,19.57,GD,1611771358
267,biak,-0.9131,122.8766,77.97,71,78,4.94,ID,1611771359
268,setermoen,68.861,18.3486,23.0,58,75,16.11,NO,1611771359
269,kenora,49.8167,-94.4337,-7.01,71,1,2.3,CA,1611771359
270,gamba,-2.65,10.0,77.4,88,99,2.26,GA,1611771360
271,ambulu,-8.345,113.6058,76.5,87,100,4.5,ID,1611771360
272,pantai remis,4.4557,100.6288,77.0,94,40,3.44,MY,1611771361
273,gardanne,43.4549,5.4691,55.0,71,33,1.01,FR,1611771159
274,sompeta,18.9333,84.6,71.56,81,20,1.34,IN,1611771361
275,neos oropos,39.1514,20.7367,41.0,52,40,5.75,GR,1611771362
276,hasaki,35.7333,140.8333,37.4,75,75,10.36,JP,1611771266
277,paralimni,35.0375,33.9833,61.0,82,40,10.36,CY,1611771363
278,poum,-20.2333,164.0167,79.7,75,96,10.83,NC,1611771172
279,san carlos de bariloche,-41.1456,-71.3082,59.0,44,40,32.21,AR,1611771363
280,rustenburg,-25.6676,27.2421,74.89,69,96,6.22,ZA,1611771363
281,nicoya,10.1483,-85.452,89.6,43,40,12.66,CR,1611771364
282,nanortalik,60.1432,-45.2371,24.69,90,100,6.02,GL,1611771108
283,talcahuano,-36.7167,-73.1167,68.0,52,0,20.71,CL,1611771259
284,halifax,44.6453,-63.5724,36.0,64,75,9.22,CA,1611771233
285,severo-kurilsk,50.6789,156.125,24.44,93,83,5.23,RU,1611771365
286,lata,40.1629,-8.3327,60.01,93,100,0.29,PT,1611771365
287,khani,41.9563,42.9566,59.0,25,0,19.57,GE,1611771365
288,euclides da cunha,-10.5075,-39.0158,86.07,44,96,9.78,BR,1611771366
289,sorland,67.667,12.6934,33.8,80,75,16.11,NO,1611771366
290,barabai,-2.5833,115.3833,73.78,91,94,0.54,ID,1611771366
291,abnub,27.2696,31.1511,66.2,45,0,11.5,EG,1611771366
292,ardesen,41.1911,40.9875,64.4,24,75,29.93,TR,1611771367
293,garissa,-0.4536,39.6401,87.67,35,27,8.88,KE,1611771367
294,bonavista,48.6499,-53.1147,28.99,93,81,3.44,CA,1611771179
295,peruwelz,50.5082,3.5918,46.4,93,90,4.61,BE,1611771368
296,cabedelo,-6.9811,-34.8339,86.0,62,40,14.97,BR,1611771368
297,niscemi,37.1486,14.3913,50.0,76,75,1.14,IT,1611771368
298,dukat,62.55,155.55,-37.98,80,100,5.23,RU,1611771368
299,codrington,-38.2667,141.9667,61.7,75,25,13.13,AU,1611771369
300,sao joao da barra,-21.6403,-41.0511,86.0,45,0,25.32,BR,1611771369
301,vardo,70.3705,31.1107,24.8,80,75,26.46,NO,1611771369
302,sola,-13.8833,167.55,82.17,81,100,19.69,VU,1611771370
303,araguacu,-12.9306,-49.8264,88.74,55,93,1.95,BR,1611771370
304,miracema do tocantins,-9.5618,-48.3967,87.1,63,87,2.35,BR,1611771370
305,bac lieu,9.285,105.7244,76.33,84,66,14.52,VN,1611771371
306,sarahan,31.5167,77.8,33.82,59,0,8.05,IN,1611771371
307,haines junction,60.7522,-137.5108,-29.2,68,53,1.14,CA,1611771371
308,meadow lake,34.8014,-106.5436,35.01,59,1,5.35,US,1611771372
309,bahia blanca,-38.7196,-62.2724,80.26,29,27,14.32,AR,1611771346
310,chernyshevskiy,63.0128,112.4714,-46.08,81,35,1.1,RU,1611771372
311,half moon bay,37.4636,-122.4286,54.0,93,20,14.97,US,1611771235
312,roebourne,-20.7833,117.1333,84.09,58,0,15.66,AU,1611771372
313,matara,5.9485,80.5353,74.97,79,72,4.21,LK,1611771373
314,thinadhoo,0.5333,72.9333,81.66,76,31,19.89,MV,1611771373
315,kyaikkami,16.08,97.5675,78.82,66,18,3.42,MM,1611771132
316,saint-augustin,51.226,-58.6502,21.72,92,26,7.9,CA,1611771374
317,simoes,-7.5989,-40.8178,92.62,33,86,9.26,BR,1611771374
318,colesberg,-30.72,25.0972,61.41,76,97,30.2,ZA,1611771374
319,kieta,-6.2167,155.6333,80.53,81,84,7.25,PG,1611771374
320,pacific grove,36.6177,-121.9166,54.0,87,75,3.44,US,1611771265
321,isangel,-19.55,169.2667,79.77,84,100,17.16,VU,1611771375
322,west plains,36.7281,-91.8524,34.0,75,90,5.75,US,1611771375
323,zhengjiatun,43.5064,123.5064,6.58,90,100,11.36,CN,1611771376
324,lakatoro,-16.0999,167.4164,76.91,87,100,3.85,VU,1611771376
325,bikin,46.8161,134.26,-9.08,86,25,2.68,RU,1611771377
326,mao,39.8885,4.2658,55.4,82,0,4.61,ES,1611771377
327,hovd,48.0056,91.6419,1.56,80,99,0.74,MN,1611771378
328,verkhoyansk,67.5447,133.385,-48.3,73,77,1.21,RU,1611771379
329,deputatskiy,69.3,139.9,-27.26,86,100,1.86,RU,1611771379
330,cap malheureux,-19.9842,57.6142,78.01,82,14,6.71,MU,1611771380
331,portland,45.5234,-122.6762,41.0,87,75,4.61,US,1611770840
332,saint-pierre,-21.3393,55.4781,80.6,69,20,6.02,RE,1611771380
333,nabire,-3.3667,135.4833,76.75,92,100,4.07,ID,1611771381
334,aykhal,66.0,111.5,-35.84,74,26,1.99,RU,1611771382
335,alofi,-19.0595,-169.9187,75.2,94,100,5.75,NU,1611771093
336,simiti,7.9579,-73.9436,95.88,36,87,4.74,CO,1611771382
337,port hedland,-20.3167,118.5667,80.6,74,2,8.05,AU,1611771382
338,sanary-sur-mer,43.1178,5.8001,59.0,54,33,11.01,FR,1611771383
339,mnogovershinnyy,53.9353,139.9242,-3.03,94,100,6.73,RU,1611771384
340,quatre cocos,-20.2078,57.7625,78.01,83,20,6.91,MU,1611771118
341,novikovo,51.1537,37.8879,36.1,92,100,10.02,RU,1611771384
342,marsaxlokk,35.8419,14.5431,55.0,76,75,13.8,MT,1611771384
343,berbera,10.4396,45.0143,74.75,71,0,8.52,SO,1611771385
344,lorengau,-2.0226,147.2712,81.93,79,100,7.34,PG,1611771386
345,ust-barguzin,53.45,108.9833,-15.79,86,100,3.4,RU,1611771386
346,yermakovskoye,53.2831,92.4003,26.08,96,100,16.53,RU,1611771386
347,asyut,27.181,31.1837,66.2,45,0,11.5,EG,1611771386
348,mujiayingzi,42.1167,118.7833,-0.11,82,63,9.26,CN,1611771387
349,souillac,-20.5167,57.5167,77.0,83,20,6.91,MU,1611771387
350,los andes,-32.8337,-70.5983,87.01,56,0,3.0,CL,1611771387
351,djibo,14.1022,-1.6306,79.63,12,0,8.05,BF,1611771388
352,hokitika,-42.7167,170.9667,57.34,86,85,11.9,NZ,1611771185
353,llanes,43.4198,-4.7549,62.01,74,93,3.71,ES,1611771388
354,bandarbeyla,9.4942,50.8122,74.23,72,50,18.72,SO,1611771388
355,xichang,27.8964,102.2634,38.28,75,3,3.65,CN,1611771388
356,guerrero negro,27.9769,-114.0611,59.94,45,100,5.53,MX,1611771388
357,berlevag,70.8578,29.0864,24.8,74,75,27.63,NO,1611771226
358,iskateley,67.6803,53.1512,-6.5,89,100,15.41,RU,1611771389
359,ati,13.2154,18.3353,80.82,14,47,11.18,TD,1611771389
360,tymovskoye,50.8456,142.655,5.13,93,100,4.9,RU,1611771389
361,kungurtug,50.5994,97.5228,-1.05,87,100,1.1,RU,1611771389
362,bosaso,11.2842,49.1816,74.82,71,8,8.01,SO,1611771389
363,mitsamiouli,-11.3847,43.2844,82.74,65,62,4.41,KM,1611771390
364,banepa,27.6298,85.5214,44.6,81,20,2.3,NP,1611771390
365,sandnessjoen,66.0217,12.6316,33.8,69,75,3.44,NO,1611771390
366,lazarev,52.225,141.5131,4.71,95,100,14.12,RU,1611771390
367,jinxiang,27.4327,120.6062,49.84,85,97,7.7,CN,1611771390
